"lat","lon","objectid","base","perimeter","area"
31.2309993833,-85.6506347178,65,"Allen Stagefield AL",1.64138338,0.17657484
31.8157331822,-85.6497984957,73,"Louisville Stagefield AL",1.7233805,0.16235675
33.1594636742,-106.425696182,261,"White Sands Missile Range NM",332.13318926,3548.57016437
21.3866284869,-157.905641308,1237,"MCB Camp Smith",2.9318851,0.33124636
21.3621462703,-157.718266082,1238,"MC Trng Area Bellows",9.14424433,1.61154585
42.0917332083,-87.836545042,1375,"Glenview",2.07135695,0.05065759
27.8965304593,-98.0434307225,1555,"ALF Orange",24.10230352,5.29396923
42.7402329675,-115.563336812,1722,"Saylor Creek Air Force Range",57.14622739,171.09737601
29.3567318395,-100.782932919,2449,"Laughlin AFB",12.78352045,6.39610569
39.7066728959,-104.757676168,2517,"Buckley AFB",13.01986607,5.17886
30.0454712012,-85.5513688862,2531,"Tyndall AFB",118.35630097,45.24040184
32.9398358551,-88.5791426256,2574,"Columbus Auxiliary Airfield",6.76446487,1.41000299
31.4321781557,-100.404389232,2577,"Goodfellow AFB",5.71761646,1.68714349
61.2656445617,-149.641025468,2636,"Fort Richardson",78.52652418,93.34278088
64.3175377667,-146.646980929,2669,"Birch Lake Recreation Annex",2.03649307,0.07970144
38.1779889015,-85.7237952525,2829,"Louisville IAP-Standiford FL Site 1",1.52012828,0.11845742
29.3820160313,-98.5645372905,2952,"Kelly AFB",13.83437218,2.93206231
34.9000362492,-92.3068019391,3056,"NG Camp Joseph T Robinson",37.22093134,51.75645043
41.0800682176,-96.3363620056,3547,"NG Camp Ashland",7.23770611,1.63072717
39.4547971565,-79.6692506335,4970,"NG Volkstone",5.72896578,0.78777573
32.7000190451,-117.207088939,5594,"NAVBASE Coronado",8.97992621,4.33722524
47.9486816236,-97.0860532381,5803,"Grand Forks Defense Fuel Support Point",0.51556692,0.01757549
32.26208341,-106.075404444,5952,"Fort Bliss",347.08012434,1742.55128279
48.1997770937,-121.925681299,6167,"Jim Creek",15.1572205,7.53465988
38.3171489216,-104.33242089,106,"Pueblo Chemical Depot",25.51299597,35.66381945
33.1053210003,-114.213605815,262,"Yuma Proving Ground",267.52640853,1307.98611024
35.3743268559,-116.633388332,634,"NTC and Fort Irwin",168.38341803,1180.20496212
38.5411518559,-118.654781649,658,"Hawthorne Army Depot",152.4509978,228.24335083
39.0968504854,-94.2501544756,667,"Lake City AAP",11.02776385,6.76156222
35.0110394592,-76.4580795598,1108,"Point of Marsh Target",50.4921902,18.61748255
34.8595418908,-116.94453311,1138,"MCLB Barstow",13.30399099,5.91717573
36.8137764139,-76.0309744664,1299,"NAS Oceana VA",14.05080616,8.29236824
41.1180005456,-95.9064350192,1763,"Offut AFB",11.89015959,3.27800877
48.7245309314,-97.9030701569,1792,"Cavalier Asn",2.79210683,0.41544057
42.937170491,-71.6412530372,2521,"New Boston Air Station",9.25955043,4.51049368
45.5783794843,-122.595521925,2858,"Portland IAP ANG",2.77056327,0.3463822
38.5414818076,-89.8537036559,2927,"Scott AFB",13.67213131,4.53168279
35.6982004144,-95.1672665598,3323,"NG Camp Gruber",38.68109414,52.31582472
41.1935295586,-96.4384536797,3546,"NG Mead TS/FMS 06/Utes 02",6.08187224,1.86137173
40.5459251377,-98.2756208599,3548,"NG Greenlief TS/UTES 01",10.01845917,5.14415871
32.5228718308,-111.333461822,3767,"NG Silver Bell Army Heliport",2.14916014,0.25022128
30.3233531244,-89.8085256308,3808,"NG Camp Villere",6.40481827,2.3082715
40.9793982663,-80.3247870434,4768,"NG New Castle Readiness Center/FMS 9",0.37172742,0.0092156
32.8550925586,-97.3503623315,4906,"NG Saginaw",2.89218953,0.2304504
47.552709639,-122.681322245,4947,"NG Bremerton",1.4761594,0.12644353
39.2058446774,-118.232177679,5488,"Target B-17",38.12624532,85.3415596
32.7116634719,-116.518554891,5598,"Camp Morena",1.32714872,0.09427915
38.9886655979,-76.4943484486,5702,"Upper Yard Annapolis",2.80787407,0.25335599
28.2458871657,-98.724210101,6007,"Yankee Target Range",8.327782,4.60186446
33.3566628083,-82.2372795186,46,"Fort Gordon",49.52881821,86.73309413
35.0301022844,-79.4816241675,582,"Camp Mackall",23.49752201,12.45540982
32.484834871,-80.7071873496,1083,"MCAS Beaufort",54.03658199,11.89888126
36.816475644,-76.2994222614,1284,"NAVSUPPACT Norfolk NSY",4.439523,0.72651883
36.9022639632,-76.3023442266,1293,"Lafayette Rvr Complex",0.70323455,0.03096726
47.7233921483,-122.714839767,1484,"Bangor WA",17.15905357,11.39643406
30.6490705509,-86.5276912145,1665,"Eglin Air Force Auxiliary Field 3 Duke Fld",8.31817313,3.04210819
